Amount,AmountIncludingVAT,Description,DocumentNo,BilltoCustomerNo,Quantity,PostingDate,LocationCode,GSTAssessableValueLCY,InvDiscountAmount,ItemCategoryCode,no,billToName,billToCity,state
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04480,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04480,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04025:,SINV25-04481,,0.0,2026-02-16,,0,0,,SINV25-04481,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04481,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04481,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04026:,SINV25-04482,,0.0,2026-02-16,,0,0,,SINV25-04482,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04482,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04482,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04027:,SINV25-04483,,0.0,2026-02-16,,0,0,,SINV25-04483,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04483,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04483,OSWAL PUMPS LIMITED,KUTAIL,HR
6670.0,6670.0,PLASTIC SCRAP,SINV25-04484,C000485,460.0,2026-02-16,SCRAP,0,0,SCRAP,SINV25-04484,RADHE KRISHNA TRADERS,Karnal,HR
0.0,0.0,Shipment No. DS25-04028:,SINV25-04485,,0.0,2026-02-16,,0,0,,SINV25-04485,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04485,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04485,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04029:,SINV25-04486,,0.0,2026-02-16,,0,0,,SINV25-04486,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04486,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04486,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04030:,SINV25-04487,,0.0,2026-02-16,,0,0,,SINV25-04487,OSWAL PUMPS LIMITED,KUTAIL,HR
