no,billToName,billToCity,state
SINV25-00049,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00050,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00051,LALA MELI RAM AND SONS,NARWANA,HR
SINV25-00052,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00053,TANYA ENTERPRISES,DELHI,DL
SINV25-00054,TANYA ENTERPRISES,DELHI,DL
SINV25-00055,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00056,ABHISHEK TRADERS,GANAUR,HR
SINV25-00057,TANYA ENTERPRISES,DELHI,DL
SINV25-00058,KRPC ENTERPRISES PVT LTD,DELHI,DL
SINV25-00059,TANYA ENTERPRISES,DELHI,DL
SINV25-00060,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00061,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00062,G.S ENTERPRISES,KAPURTHALA,PB
SINV25-00063,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00064,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00065,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00066,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00067,TANYA ENTERPRISES,DELHI,DL
SINV25-00068,LEELA RENEWABLES PRIVATE LIMITED,MOGA,PB
SINV25-00069,LEELA RENEWABLES PRIVATE LIMITED,MOGA,PB
SINV25-00070,TANYA ENTERPRISES,DELHI,DL
SINV25-00071,ABHISHEK TRADERS,GANAUR,HR
SINV25-00072,RAJDEEP ECO CARE,LADWA,HR
SINV25-00073,ANANT ENERGY,PALHAWAS,HR
SINV25-00074,SOLARBEE,MYSURU,KA
SINV25-00075,SHREE BALAJI SANITARY & ELECTRICAL STORE,BEHAL,HR
SINV25-00076,IKKAS ENTERPRISES,JAGADHRI,HR
SINV25-00077,MANDHAN TRADING CO.,LADWA,HR
SINV25-00078,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00079,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00080,ALLIED FILLING STATION,GHARAUNDA,HR
SINV25-00081,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00082,GLOBAL ENTERPRISES,BHATINDA,PB
SINV25-00083,JAMIDAR ENTERPRISES,NARNAUND,HR
SINV25-00084,AVANI SALES,MALLAWAN,UP
SINV25-00085,LALA MELI RAM AND SONS,NARWANA,HR
SINV25-00086,SURAJ SOLAR AGENCY,YAMUNANAGAR,HR
SINV25-00087,NAVYA TRADERS,ISMAILAPUR,UP
SINV25-00088,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00089,SORONJAIVIK FARMER PRODUCER COMPANY LIMITED,KASGANJ,UP
SINV25-00090,AJAY ELECTRONICS,JAHANGIRABAD,UP
SINV25-00091,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00092,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00093,SUN ASTRA ENERGY SOLUTIONS PVT. LTD.,PANCHKULA,HR
SINV25-00093.,ANANT ENERGY,PALHAWAS,HR
SINV25-00094,ANANT ENERGY,PALHAWAS,HR
SINV25-00094.,M/S CHANDRA TRADERS,Muzaffarnagar,UP
SINV25-00095,M/S CHANDRA TRADERS,Muzaffarnagar,UP
SINV25-00095.,SUN ASTRA ENERGY SOLUTIONS PVT. LTD.,PANCHKULA,HR
SINV25-00096,P S AROGYA TRADING COMPANY,KARNAL,HR
SINV25-00096.,ANANT ENERGY,PALHAWAS,HR
SINV25-00097,HARYANA CERAMIC & ALLIED PRODUCTS IND,AMBALA CITY,HR
SINV25-00098,BHAGWATI TRADERS,KARNAL,HR
SINV25-00099,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00100,D S ENTERPRISES,AMRITSAR,PB
SINV25-00101,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00102,MEWAT SOLAR HOUSE,NUH,HR
SINV25-00103,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00104,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00105,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00106,TANYA ENTERPRISES,DELHI,DL
SINV25-00107,ABHISHEK TRADERS,GANAUR,HR
SINV25-00108,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00109,BHARAT PUMPS AND PIPE,KURUKSHETRA,HR
SINV25-00110,EROOKA PRIVATE LIMITED,SUNAM,PB
SINV25-00111,GANGOTRI CONSUMABLE RETAILS PVT LTD,HALDWANI,UK
SINV25-00112,SUNRISE SOLAR SOLUTION,BAREILLY,UP
SINV25-00113,LALA MELI RAM AND SONS,NARWANA,HR
SINV25-00114,RAJDEEP ECO CARE,LADWA,HR
SINV25-00115,TANYA ENTERPRISES,DELHI,DL
SINV25-00116,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00117,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00118,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00119,SONY TRADERS,GURDASPUR,PB
SINV25-00120,ABHISHEK TRADERS,GANAUR,HR
SINV25-00121,ECOSOLAR POWER MARKETING PRIVATE LIMITED,SARDULGARH,PB
SINV25-00122,KRISHAN KUMAR CONTRACTOR,HISAR,HR
SINV25-00123,KTC SOLAR,MOONAK,PB
SINV25-00124,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
SINV25-00125,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00126,ABHISHEK TRADERS,GANAUR,HR
SINV25-00127,TARAN TRADERS,GURDASPUR,PB
SINV25-00128,KATAL ELECTRONICS,MUKERIAN,PB
SINV25-00129,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00130,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00131,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00132,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00133,BSG SOLAR ECO ENERGY PRIVATE LIMITED,SUJANPUR,HP
SINV25-00134,RJ SOLAR SOLUTIONS,BAHADURGARH,HR
SINV25-00135,BHARAT ENTERPRISES,SAHARANPUR,UP
SINV25-00136,MODERN SOLAR COMPANY,ALLAHABAD,UP
SINV25-00137,AHMAD QADRI SMART SOLAR SOLUTION,BHADOHI,UP
